PRPF38A,23,TAL1,4
AMMECR1,3,ZNF33B,0
PLIN2,3,ZNF33B,0
hist1h3g,3,ZNF33B,0
TNFAIP6,3,ZNF33B,0
MMAA,3,ZNF33B,0
PEBP1,23,TAL1,1
ITGB1BP2,3,ZNF33B,0
BMP8B,3,ZNF33B,0
WDTC1,3,ZNF33B,0
C12orf12,3,ZNF33B,0
NPFFR2,3,ZNF33B,0
CBLC,33,PFN2,2
RABGEF1,31,NEFL,0
ZNF282,3,ZNF33B,0
HSD17B1,3,ZNF33B,0
RASSF5,33,PFN2,0
EP400NL,3,ZNF33B,0
SPA17,3,ZNF33B,0
UCK1,3,ZNF33B,0
NFIB,3,ZNF33B,0
SPRYD5,3,ZNF33B,0
USH2A,3,ZNF33B,0
USP21,46,GDF9,0
MRPS22,3,ZNF33B,0
Grm6,3,ZNF33B,0
NR2E3,27,HIP1,0
GMFG,3,ZNF33B,0
SLC9A4,3,ZNF33B,0
RANGRF,3,ZNF33B,0
CAMSAP2,3,ZNF33B,0
ADAMTSL5,3,ZNF33B,0
NEFL,31,NEFL,2
LMX1B,3,ZNF33B,0
ADH7,3,ZNF33B,0
ZNF7,3,ZNF33B,0
AKR1A1,3,ZNF33B,0
C7orf25,23,TAL1,1
HCRT,3,ZNF33B,0
PRUNE,3,ZNF33B,0
SAR1A,3,ZNF33B,0
SDK1,3,ZNF33B,0
SNRNP70,46,GDF9,1
TSHR,23,TAL1,0
SLC25A3,3,ZNF33B,0
TIRAP,27,HIP1,0
VGLL2,3,ZNF33B,0
HN1,3,ZNF33B,0
EPAS1,33,PFN2,0
MYO16,3,ZNF33B,0
BLZF1,47,SH3GL3,2
NDUFS7,3,ZNF33B,0
APOA4,3,ZNF33B,0
GMDS,3,ZNF33B,0
LSMEM1,3,ZNF33B,0
JMY,3,ZNF33B,0
PDCD1,3,ZNF33B,0
CLDN12,3,ZNF33B,0
FBXL19,3,ZNF33B,0
TXLNG,3,ZNF33B,0
POLA2,33,PFN2,2
LCE4A,23,TAL1,0
NME1,31,NEFL,0
MRPL37,3,ZNF33B,0
GTF2IRD2,3,ZNF33B,0
DNAJC14,3,ZNF33B,0
AK3,3,ZNF33B,0
IGL,3,ZNF33B,0
DCDC2,3,ZNF33B,0
ECT2,33,PFN2,0
GUCY2C,3,ZNF33B,0
TSFM,3,ZNF33B,0
BABAM1,3,ZNF33B,0
LSM3,31,NEFL,1
DDX19A,3,ZNF33B,0
RIC8B,3,ZNF33B,0
CCNE1,46,GDF9,1
MAPK8IP1,27,HIP1,0
FEZ1,62,FEZ1,1
CDC34,53,GIT1,1
SEMA7A,3,ZNF33B,0
SELM,3,ZNF33B,0
SLC23A2,3,ZNF33B,0
RUNDC3B,3,ZNF33B,0
C2orf73,3,ZNF33B,0
GGPS1,3,ZNF33B,0
OXCT2,3,ZNF33B,0
RBM26,3,ZNF33B,0
RAB4B,3,ZNF33B,0
DOT1L,3,ZNF33B,0
MRPS18B,3,ZNF33B,0
CD34,3,ZNF33B,0
RCOR3,31,NEFL,0
BCL2L12,3,ZNF33B,0
SDSL,3,ZNF33B,0
ANPEP,3,ZNF33B,0
RGS3,27,HIP1,0
