SRSF9,14
HOXA5,12
RNF130,13
RAPH1,4
Sae1,1
RNF133,2
HLA-DQB1,4
RNF135,6
DNAJB14,1
RNF138,14
CDK4,91
CDK5,72
CISD2,2
CLNS1A,17
HOXA1,63
MRC1,1
TSHZ2,2
TSHZ3,16
TSHZ1,1
GID8,5
MRC2,12
FOXS1,3
ZNF581,40
IGLL1,3
MCOLN1,2
TIPARP,2
ZNF584,1
ZNF587,43
ZNF586,1
F8A1,4
CHST9,1
ASUN,1
LSM12,1
PSD,5
CAMKK2,7
CAMKK1,9
HMGB3P1,2
NPTXR,2
TRNI,1
spi1,1
MYO1G,1
MYO1F,2
MYO1E,2
MYO1D,1
MYO1C,5
MYO1B,2
MYO1A,2
CHST1,2
GDU5,1
Schip1,1
hist1h3g,3
CHMP3,12
RPL36AL,5
RAET1G,2
CHMP7,3
CHMP6,7
CHMP5,17
CTPS2,7
CTPS1,3
LGALSL,4
LY6G6C,1
HOXA13,6
TLL1,2
HOXA11,5
HOXA10,14
KRTAP19-7,5
KRTAP19-5,10
HIST2H2AA3,16
ATAT1,2
MIA40,1
GALNTL5,2
SRC,267
TSSK4,3
Neurod1,1
TSSK2,6
TSSK3,19
GALNTL2,1
FAM214A,8
FAM214B,10
SRI,20
ZNF329,11
SRM,2
SRR,4
ADCY8,3
LGALS9,3
LGALS8,7
LGALS3,21
LGALS2,8
FAM53C,5
SRY,8
LGALS7,3
CFAP36,2
LGALS4,4
NMU,6
AKIRIN2,3
AKIRIN1,1
EIF2AK1,6
EIF2AK3,6
EIF2AK2,52
TDG,36
EIF2AK4,4
HN1,3
NMB,3
EREG,2
AVPI1,9
MYO16,3
ASAP1,13
ASAP2,14
ASAP3,5
OCRL,10
NTG2,1
ENTPD6,2
ATG101,5
PLAUR,20
XIST,2
KRT28,1
TBX2,3
C1QTNF9B-AS1,1
KIAA1524,2
KIAA1522,2
MPDU1,2
KIAA1033,2
Ccna2,1
LOX,10
PPTC7,1
LRRC29,2
TIMM17B,3
M1AP,4
TIMM17A,4
GCNT1,1
C14orf139,4
GCNT3,4
C14orf135,1
C14orf133,1
ELL,22
mex67,2
LPCAT1,2
ALOX5,18
MID1IP1,6
PIGA,4
PIGC,4
PIGF,2
CALCRL,6
PIGH,3
PIGK,3
PIGM,2
PIGN,1
KRT27,4
PIGQ,4
PIGR,4
PIGS,4
PIGT,3
PIGU,1
WRAP53,1
PYY,5
PIGY,2
TAGLN,7
TAX1BP1,43
CSNK1G2,12
TAX1BP3,12
ALPP,8
RHPN1,10
INPPL1,15
Rqcd1,1
RHPN2,6
CCDC170,1
ITGAD,4
CCDC172,11
